subject ID,age,gender,handedness,condition,question ID,value
Mars,13,Male,Right handed,,0,3
Mars,13,Male,Right handed,,1,4
Mars,13,Male,Right handed,,2,1
Mars,13,Male,Right handed,,3,5
Mars,13,Male,Right handed,,4,0
Mars,13,Male,Right handed,,5,2
