,,,,,0,
,,,,,1,
,,,,,2,
,,,,,0,0.5321693
,,,,,1,0.1448907
,,,,,2,0.9506682
,,,,,0,
,,,,,1,
,,,,,2,
,,,,,0,0.1268913
,,,,,1,0.8976022
,,,,,0,1
,,,,,1,6
,,,,,2,3
,,,,,0,0.5622859
,,,,,1,0.3010053
,,,,,2,0.6798509
,,,,,0,3
,,,,,1,2
,,,,,2,4
,,,,,0,0.7384623
,,,,,1,0.2393617
,,,,,2,0.5213563
,,,,,0,3
,,,,,0,3
,,,,,0,3
,,,,,0,2
,,,,,1,3
,,,,,0,2
,,,,,1,5
,,,,,2,2
,,,,,0,0.4891478
,,,,,1,0.6351573
,,,,,2,0.3876833
,,,,,0,2
,,,,,1,2
,,,,,2,2
,,,,,0,3
,,,,,1,2
,,,,,0,2
,,,,,1,2
,,,,,2,2
,,,,,0,3
,,,,,1,2
,,,,,2,4
,,,,,0,0.4669181
,,,,,0,3
,,,,,0,2
,,,,,1,3
,,,,,2,4
,,,,,0,3
,,,,,0,3
,,,,,0,4
,,,,,1,2
,,,,,2,3
,,,,,0,0.9115317
,,,,,0,4
,,,,,1,2
,,,,,2,5
,,,,,0,0.524542
,,,,,1,0.3036346
,,,,,2,0.8566041
